Time,Temperature,Humidity
19.03.2018 09:02:09,23,33
19.03.2018 09:02:14,23,33
19.03.2018 09:02:19,23,34
19.03.2018 09:02:24,23,33
19.03.2018 09:02:29,23,34
19.03.2018 09:02:34,24,33
19.03.2018 09:02:39,23,34
19.03.2018 09:02:44,24,33
19.03.2018 09:02:49,23,34
19.03.2018 09:02:54,23,33
19.03.2018 09:02:59,24,33
19.03.2018 09:03:04,24,33
19.03.2018 09:03:09,24,33
19.03.2018 09:03:14,23,33
19.03.2018 09:03:19,24,33
19.03.2018 09:03:24,24,33
19.03.2018 09:03:29,23,33
19.03.2018 09:03:34,24,33
19.03.2018 09:03:39,24,33
19.03.2018 09:03:44,24,33
19.03.2018 09:03:49,23,33
19.03.2018 09:03:54,24,33
19.03.2018 09:03:59,23,33
19.03.2018 09:04:04,24,33
19.03.2018 09:04:09,23,33
19.03.2018 09:04:14,24,33
19.03.2018 09:04:19,23,33
19.03.2018 09:04:24,24,33
19.03.2018 09:04:29,23,33
19.03.2018 09:04:34,24,33
19.03.2018 09:04:39,23,33
19.03.2018 09:04:44,24,33
19.03.2018 09:04:49,23,33
19.03.2018 09:04:54,24,33
19.03.2018 09:04:59,23,33
19.03.2018 09:05:04,24,33
19.03.2018 09:05:09,23,33
19.03.2018 09:05:14,24,33
19.03.2018 09:05:19,23,33
19.03.2018 09:05:24,24,33
19.03.2018 09:05:29,24,34
19.03.2018 09:05:34,24,33
19.03.2018 09:05:39,23,33
19.03.2018 09:05:44,23,34
19.03.2018 09:05:49,23,33
19.03.2018 09:05:54,24,33
19.03.2018 09:05:59,24,33
19.03.2018 09:06:04,24,33
19.03.2018 09:06:09,23,33
19.03.2018 09:06:14,24,33
19.03.2018 09:06:19,24,33
19.03.2018 09:06:24,24,33
19.03.2018 09:06:29,24,33
19.03.2018 09:06:34,24,33
19.03.2018 09:06:39,24,33
19.03.2018 09:06:44,24,33
19.03.2018 09:06:49,24,34
19.03.2018 09:06:54,24,33
19.03.2018 09:06:59,24,33
19.03.2018 09:07:04,23,33
19.03.2018 09:07:09,24,33
19.03.2018 09:07:14,23,33
19.03.2018 09:07:19,24,33
19.03.2018 09:07:24,23,33
19.03.2018 09:07:29,24,34
19.03.2018 09:07:34,23,33
19.03.2018 09:07:39,24,33
19.03.2018 09:07:44,23,33
19.03.2018 09:07:49,24,33
19.03.2018 09:07:54,23,33
19.03.2018 09:07:59,24,33
19.03.2018 09:08:04,24,33
19.03.2018 09:08:09,24,33
19.03.2018 09:08:14,24,33
19.03.2018 09:08:20,24,33
19.03.2018 09:08:25,24,33
19.03.2018 09:08:30,24,33
19.03.2018 09:08:35,24,33
19.03.2018 09:08:40,23,33
19.03.2018 09:08:45,24,33
19.03.2018 09:08:50,23,33
19.03.2018 09:08:55,24,33
19.03.2018 09:09:00,23,34
19.03.2018 09:09:05,24,33
19.03.2018 09:09:10,24,33
19.03.2018 09:09:15,24,33
19.03.2018 09:09:20,24,33
19.03.2018 09:09:25,24,33
19.03.2018 09:09:30,24,33
19.03.2018 09:09:35,24,33
19.03.2018 09:09:40,24,33
19.03.2018 09:09:45,24,34
19.03.2018 09:09:50,23,33
19.03.2018 09:09:55,24,34
19.03.2018 09:10:00,24,33
19.03.2018 09:10:05,24,33
19.03.2018 09:10:10,24,33
19.03.2018 09:10:15,24,33
19.03.2018 09:10:20,24,33
19.03.2018 09:10:25,24,33
19.03.2018 09:10:30,24,33
19.03.2018 09:10:35,24,33
19.03.2018 09:10:40,24,33
19.03.2018 09:10:45,24,33
19.03.2018 09:10:50,24,33
19.03.2018 09:10:55,24,33
19.03.2018 09:11:00,24,33
19.03.2018 09:11:05,24,33
19.03.2018 09:11:10,24,33
19.03.2018 09:11:15,23,33
19.03.2018 09:11:20,24,33
19.03.2018 09:11:25,24,33
19.03.2018 09:11:30,24,33
19.03.2018 09:11:35,24,33
19.03.2018 09:11:40,23,33
19.03.2018 09:11:45,24,33
19.03.2018 09:11:50,24,33
19.03.2018 09:11:55,24,33
19.03.2018 09:12:00,24,33
19.03.2018 09:12:05,24,33
19.03.2018 09:12:10,24,33
19.03.2018 09:12:15,24,33
19.03.2018 09:12:20,24,33
19.03.2018 09:12:25,24,33
19.03.2018 09:12:30,24,33
19.03.2018 09:12:35,24,33
19.03.2018 09:12:40,24,33
19.03.2018 09:12:45,24,33
19.03.2018 09:12:50,24,33
19.03.2018 09:12:55,24,33
19.03.2018 09:13:00,24,33
19.03.2018 09:13:05,24,33
19.03.2018 09:13:10,24,33
19.03.2018 09:13:15,24,33
19.03.2018 09:13:20,24,33
19.03.2018 09:13:25,24,33
19.03.2018 09:13:30,24,33
19.03.2018 09:13:35,24,34
19.03.2018 09:13:40,24,33
19.03.2018 09:13:45,24,34
19.03.2018 09:13:50,24,33
19.03.2018 09:13:55,24,33
19.03.2018 09:14:00,23,34
19.03.2018 09:14:05,24,33
19.03.2018 09:14:10,24,33
19.03.2018 09:14:15,24,33
19.03.2018 09:14:20,24,33
19.03.2018 09:14:25,24,33
19.03.2018 09:14:31,24,33
19.03.2018 09:14:36,24,33
19.03.2018 09:14:41,24,33
19.03.2018 09:14:46,24,33
19.03.2018 09:14:51,24,33
19.03.2018 09:14:56,24,33
19.03.2018 09:15:01,24,33
19.03.2018 09:15:06,24,33
19.03.2018 09:15:11,24,33
19.03.2018 09:15:16,24,33
19.03.2018 09:15:21,24,34
19.03.2018 09:15:26,24,33
19.03.2018 09:15:31,24,33
19.03.2018 09:15:36,24,33
19.03.2018 09:15:41,24,33
19.03.2018 09:15:46,24,33
19.03.2018 09:15:51,24,33
19.03.2018 09:15:56,24,33
19.03.2018 09:16:01,24,33
19.03.2018 09:16:06,24,33
19.03.2018 09:16:11,24,33
19.03.2018 09:16:16,24,33
19.03.2018 09:16:21,24,33
19.03.2018 09:16:26,24,34
19.03.2018 09:16:31,24,33
19.03.2018 09:16:36,24,33
19.03.2018 09:16:41,24,33
19.03.2018 09:16:46,24,33
19.03.2018 09:16:51,24,33
19.03.2018 09:16:56,24,33
19.03.2018 09:17:01,24,33
19.03.2018 09:17:06,24,33
19.03.2018 09:17:11,24,33
19.03.2018 09:17:16,24,33
19.03.2018 09:17:21,24,33
19.03.2018 09:17:26,24,33
19.03.2018 09:17:31,24,33
19.03.2018 09:17:36,24,33
19.03.2018 09:17:41,24,33
19.03.2018 09:17:46,24,34
19.03.2018 09:17:51,24,34
19.03.2018 09:17:56,24,34
19.03.2018 09:18:01,24,33
19.03.2018 09:18:06,24,33
19.03.2018 09:18:11,23,34
19.03.2018 09:18:16,23,33
19.03.2018 09:18:21,24,33
19.03.2018 09:18:26,23,34
19.03.2018 09:18:31,24,33
19.03.2018 09:18:36,24,33
19.03.2018 09:18:41,23,33
19.03.2018 09:18:46,24,33
19.03.2018 09:18:51,24,33
19.03.2018 09:18:56,24,33
19.03.2018 09:19:01,23,33
19.03.2018 09:19:06,24,33
19.03.2018 09:19:11,24,33
19.03.2018 09:19:16,24,33
19.03.2018 09:19:21,23,33
19.03.2018 09:19:26,23,33
19.03.2018 09:19:31,23,33
19.03.2018 09:19:36,24,33
19.03.2018 09:19:41,24,33
19.03.2018 09:19:46,24,33
19.03.2018 09:19:51,23,33
19.03.2018 09:19:56,24,33
19.03.2018 09:20:01,23,33
19.03.2018 09:20:06,24,33
19.03.2018 09:20:11,24,33
19.03.2018 09:20:16,23,33
19.03.2018 09:20:21,23,33
19.03.2018 09:20:26,23,34
19.03.2018 09:20:31,23,33
19.03.2018 09:20:36,24,33
19.03.2018 09:20:41,23,33
19.03.2018 09:20:46,23,33
19.03.2018 09:20:52,23,33
19.03.2018 09:20:57,24,33
19.03.2018 09:21:02,23,33
19.03.2018 09:21:07,24,33
19.03.2018 09:21:12,23,33
19.03.2018 09:21:17,23,33
19.03.2018 09:21:22,23,33
19.03.2018 09:21:27,23,33
19.03.2018 09:21:32,23,34
19.03.2018 09:21:37,23,33
19.03.2018 09:21:42,23,33
19.03.2018 09:21:47,23,33
19.03.2018 09:21:52,23,34
19.03.2018 09:21:57,24,33
19.03.2018 09:22:02,23,33
19.03.2018 09:22:07,23,33
19.03.2018 09:22:12,23,33
19.03.2018 09:22:17,23,33
19.03.2018 09:22:22,24,33
19.03.2018 09:22:27,23,33
19.03.2018 09:22:32,23,33
19.03.2018 09:22:37,23,33
19.03.2018 09:22:42,23,34
19.03.2018 09:22:47,23,33
19.03.2018 09:22:52,23,33
19.03.2018 09:22:57,23,33
19.03.2018 09:23:02,23,33
19.03.2018 09:23:07,23,33
19.03.2018 09:23:12,23,33
19.03.2018 09:23:17,23,33
19.03.2018 09:23:22,23,33
19.03.2018 09:23:27,23,33
19.03.2018 09:23:32,23,33
19.03.2018 09:23:37,23,33
19.03.2018 09:23:42,23,33
19.03.2018 09:23:47,23,33
19.03.2018 09:23:52,23,33
19.03.2018 09:23:57,23,33
19.03.2018 09:24:02,23,33
19.03.2018 09:24:07,23,33
19.03.2018 09:24:12,23,33
19.03.2018 09:24:17,23,33
19.03.2018 09:24:22,23,33
19.03.2018 09:24:27,23,33
19.03.2018 09:24:32,23,33
19.03.2018 09:24:37,23,33
19.03.2018 09:24:42,23,33
19.03.2018 09:24:47,23,33
19.03.2018 09:24:52,23,33
19.03.2018 09:24:57,24,33
19.03.2018 09:25:02,24,33
19.03.2018 09:25:07,24,33
19.03.2018 09:25:12,23,33
19.03.2018 09:25:17,24,33
19.03.2018 09:25:22,23,33
19.03.2018 09:25:27,24,33
19.03.2018 09:25:32,23,34
19.03.2018 09:25:37,24,33
19.03.2018 09:25:42,23,33
19.03.2018 09:25:47,23,34
19.03.2018 09:25:52,23,33
19.03.2018 09:25:57,24,33
19.03.2018 09:26:02,23,33
19.03.2018 09:26:07,23,33
19.03.2018 09:26:12,23,33
19.03.2018 09:26:17,24,33
19.03.2018 09:26:22,24,33
19.03.2018 09:26:27,23,33
19.03.2018 09:26:32,24,33
19.03.2018 09:26:37,23,33
19.03.2018 09:26:42,23,33
19.03.2018 09:26:47,24,33
19.03.2018 09:26:52,24,33
19.03.2018 09:26:58,23,33
19.03.2018 09:27:03,23,33
19.03.2018 09:27:08,23,33
19.03.2018 09:27:13,24,33
19.03.2018 09:27:18,23,33
19.03.2018 09:27:23,24,33
19.03.2018 09:27:28,24,33
19.03.2018 09:27:33,24,33
19.03.2018 09:27:38,23,33
19.03.2018 09:27:43,24,33
19.03.2018 09:27:48,24,33
19.03.2018 09:27:53,24,33
19.03.2018 09:27:58,24,33
19.03.2018 09:28:03,24,33
19.03.2018 09:28:08,24,33
19.03.2018 09:28:13,24,33
19.03.2018 09:28:18,24,33
19.03.2018 09:28:23,24,33
19.03.2018 09:28:28,24,33
19.03.2018 09:28:33,24,33
19.03.2018 09:28:38,24,34
19.03.2018 09:28:43,24,33
19.03.2018 09:28:48,24,33
19.03.2018 09:28:53,24,33
19.03.2018 09:28:58,24,33
19.03.2018 09:29:03,24,33
19.03.2018 09:29:08,24,33
19.03.2018 09:29:13,23,34
19.03.2018 09:29:18,24,33
19.03.2018 09:29:23,24,33
19.03.2018 09:29:28,23,33
19.03.2018 09:29:33,24,33
19.03.2018 09:29:38,24,33
19.03.2018 09:29:43,24,33
19.03.2018 09:29:48,24,33
19.03.2018 09:29:53,24,33
19.03.2018 09:29:58,24,33
19.03.2018 09:30:03,24,33
19.03.2018 09:30:08,24,33
19.03.2018 09:30:13,24,33
19.03.2018 09:30:18,24,33
19.03.2018 09:30:23,24,33
19.03.2018 09:30:28,24,33
19.03.2018 09:30:33,24,33
19.03.2018 09:30:38,24,33
19.03.2018 09:30:43,24,33
19.03.2018 09:30:48,24,33
19.03.2018 09:30:53,24,33
19.03.2018 09:30:58,24,33
19.03.2018 09:31:03,24,33
19.03.2018 09:31:08,24,33
19.03.2018 09:31:13,24,33
19.03.2018 09:31:18,24,33
